# 2026 WorldTeam rosters, from English Wikipedia "List of 2026 UCI WorldTeams and riders" (CC BY-SA 4.0), fetched 2026-09-25.
# Used offline by: npm run build:real. Refresh from Wikipedia with: npm run build:real:wiki
# Format: "## Team name" then: Name | NAT (IOC) | birth year | type. Types come from Wikipedia rider types or ratings.csv.

## Alpecin–Premier Tech
Maurice Ballerstedt | GER | 2001 | rouleur
Tobias Bayer | AUT | 1999 | rouleur
Lennert Belmans | BEL | 2002 | rouleur
Francesco Busatto | ITA | 2002 | rouleur
Lindsay De Vylder | BEL | 1995 | rouleur
Ramses Debruyne | BEL | 2002 | rouleur
Simon Dehairs | BEL | 2001 | sprinter
Tibor Del Grosso | NED | 2003 | cobbles
Silvan Dillier | SUI | 1990 | cobbles
Aaron Dockx | BEL | 2004 | rouleur
Jonas Geens | BEL | 1999 | rouleur
Gal Glivar | SLO | 2002 | rouleur
Michael Gogl | AUT | 1993 | rouleur
Kaden Groves | AUS | 1998 | sprinter
Hugo Houle | CAN | 1990 | gc
Tim Marsman | NED | 2000 | rouleur
Jasper Philipsen | BEL | 1998 | sprinter
Edward Planckaert | BEL | 1995 | sprinter
Jensen Plowright | AUS | 2000 | sprinter
Johan Price-Pejtersen | DEN | 1999 | tt
Senna Remijn | NED | 2006 | rouleur
Jonas Rickaert | BEL | 1994 | rouleur
Oscar Riesebeek | NED | 1992 | rouleur
Florian Sénéchal | FRA | 1993 | cobbles
Sente Sentjens | BEL | 2005 | rouleur
Gerben Thijssen | BEL | 1998 | sprinter
Henri Uhlig | GER | 2001 | rouleur
Mathieu van der Poel | NED | 1995 | cobbles
Luca Vergallito | ITA | 1997 | climber
Emiel Verstrynge | BEL | 2002 | cobbles

## Decathlon–CMA CGM
Tobias Lund Andresen | DEN | 2002 | sprinter
Tiesj Benoot | BEL | 1994 | cobbles
Léo Bisiaux | FRA | 2005 | climber
Stefan Bissegger | SUI | 1998 | tt
Cees Bol | NED | 1995 | sprinter
Oscar Chamberlain | AUS | 2005 | tt
Sander De Pestel | BEL | 1998 | rouleur
